,crn,course,enrollment,meeting,days,dept
0,13587,AFR 105 - 01,24,12:45 PM - 3:25 PM,T,AFR
1,15568,AFR 201 - 01,8,6:30 PM - 9:10 PM,M,AFR
2,15753,AFR 215 - 01,16,9:55 AM - 11:10 AM,MR,AFR
3,15071-15207,AFR 242 - 01,30,9:55 AM - 11:10 AM,TF,AFR
4,15570-15571,AFR 264 - 01,19,9:55 AM - 11:10 AM,TF,AFR
5,15827-15828,AFR 295 - 01,28,2:20 PM - 3:35 PM,MR,AFR
6,15075,AFR 341 - 01,15,12:45 PM - 3:25 PM,F,AFR
7,10596,AMST 101 - 01,21,9:55 AM - 11:10 AM,MR,AMST
8,15572-15573,AMST 117 - 01,49,8:30 AM - 9:45 AM,MR,AMST
9,14208,AMST 151 - 01,23,2:20 PM - 3:35 PM,MR,AMST
10,15076,AMST 152 - 01,26,11:20 AM - 12:35 PM,MR,AMST
11,15077,AMST 161 - 01,10,12:45 PM - 2:00 PM,TF,AMST
12,14740-14741,AMST 225 - 01,24,2:10 PM - 3:25 PM,TF,AMST
13,15574-15575,AMST 228 - 01,21,9:55 AM - 11:10 AM,TF,AMST
14,15576-15577,AMST 246 - 01,21,11:20 AM - 12:35 PM,MR,AMST
15,15009-15010,AMST 258 - 01,11,12:45 PM - 2:00 PM,TF,AMST
16,15760,AMST 264 - 01,20,9:55 AM - 12:35 PM,T,AMST
17,15578-15579,AMST 274 - 01,26,12:45 PM - 3:25 PM,T,AMST
18,14461,AMST 355 - 01,14,1:30 PM - 4:10 PM,W,AMST
19,14448,ANTH 101 - 01,36,11:20 AM - 12:35 PM,MR,ANTH
20,14465-15112,ANTH 103 - 01,27,9:55 AM - 11:10 AM,TF,ANTH
21,15580,ANTH 217 - 01,8,6:30 PM - 9:10 PM,W,ANTH
22,15581-15582,ANTH 232 - 01,16,6:30 PM - 9:10 PM,R,ANTH
23,15839,ANTH 237 - 01,7,11:20 AM - 12:35 PM,TF,ANTH
24,15292,ANTH 246 - 01,6,2:10 PM - 3:25 PM,TF,ANTH
25,15584-15585,ANTH 265 - 01,22,9:55 AM - 11:10 AM,MR,ANTH
26,15754-15759,ANTH 277 - 01,15,1:30 PM - 4:10 PM,W,ANTH
27,12255,ANTH 301 - 01,8,2:10 PM - 4:50 PM,T,ANTH
28,15586,ANTH 346 - 01,16,2:20 PM - 5:00 PM,M,ANTH
29,11049,ARAB 101 - 01,16,8:30 AM - 9:45 AM 8:30 AM - 9:20 AM,MTR W,ARAB
30,11362,ARAB 101 - 02,13,9:55 AM - 11:10 AM 9:30 AM - 10:20 AM,MTR W,ARAB
31,11050,ARAB 201 - 01,13,8:30 AM - 9:45 AM 8:30 AM - 9:20 AM,MR W,ARAB
32,11888,ARAB 201 - 02,14,9:55 AM - 11:10 AM 9:30 AM - 10:20 AM,MR W,ARAB
33,13971,ARAB 301 - 01,9,11:20 AM - 12:35 PM,MR,ARAB
34,13246,ARTH 100 - 01,19,2:20 PM - 3:35 PM,MR,ARTH
35,10171,ARTH 100 - 02,21,11:20 AM - 12:35 PM,TF,ARTH
36,13840,ARTH 100 - 03,18,2:10 PM - 3:25 PM,TF,ARTH
37,15800,ARTH 110Y - 01,8,2:20 PM - 5:00 PM,M,ARTH
38,15774-15836,ARTH 112Y - 01,10,1:30 PM - 4:10 PM,W,ARTH
39,15803,ARTH 224 - 01,24,11:20 AM - 12:35 PM,MR,ARTH
40,15775,ARTH 227 - 01,16,9:55 AM - 11:10 AM,MR,ARTH
41,15746,ARTH 228 - 01,25,12:45 PM - 3:25 PM,T,ARTH
42,15589,ARTH 243 - 01,12,11:20 AM - 12:35 PM,TF,ARTH
43,15590,ARTH 255 - 01,19,8:30 AM - 9:45 AM,TF,ARTH
44,15570-15571,ARTH 264 - 01,19,9:55 AM - 11:10 AM,TF,ARTH
45,15776,ARTH 310 - 01,7,1:30 PM - 4:10 PM,W,ARTH
46,15591,ARTH 312 - 01,10,2:20 PM - 5:00 PM,R,ARTH
47,14479,ARTH 318 - 01,4,9:30 AM - 12:10 PM,W,ARTH
48,15773,ARTH 328 - 01,10,9:55 AM - 12:35 PM,R,ARTH
49,15777,ARTH 347 - 01,11,9:30 AM - 12:10 PM,W,ARTH
50,15592-15593,ARTH 373 - 01,18,12:45 PM - 3:25 PM,F,ARTH
51,13982,ARTS 105 - 01,18,9:55 AM - 12:35 PM,MR,ARTS
52,10413,ARTS 105 - 02,19,2:20 PM - 5:00 PM,MR,ARTS
53,10162-11412,ARTS 108 - 01,14,9:55 AM - 12:35 PM,TF,ARTS
54,15747,ARTS 112 - 01,12,9:55 AM - 12:35 PM,MR,ARTS
55,11256,ARTS 113 - 01,18,9:55 AM - 12:35 PM,TF,ARTS
56,10121-11411,ARTS 165 - 01,16,2:20 PM - 5:00 PM,MR,ARTS
57,10617,ARTS 207 - 01,12,1:30 PM - 4:10 PM,TF,ARTS
58,13654-13655,ARTS 208 - 01,9,1:30 PM - 4:10 PM,TF,ARTS
59,11430,ARTS 218 - 01,9,2:20 PM - 5:00 PM,MR,ARTS
60,15594-15595,ARTS 221 - 01,18,9:55 AM - 12:35 PM,TF,ARTS
61,15596,ARTS 223 - 01,12,9:55 AM - 12:35 PM,MR,ARTS
62,15597-15598,ARTS 260 - 01,14,1:30 PM - 4:10 PM,TF,ARTS
63,15097-15105,ARTS 265 - 01,13,6:00 PM - 8:40 PM,MW,ARTS
64,14420,ARTS 317 - 01,17,1:30 PM - 4:10 PM,F,ARTS
65,15599-15600,ARTS 336 - 01,21,2:20 PM - 5:00 PM,MR,ARTS
66,10776,ASTR 100 - 01,34,11:20 AM - 12:35 PM,TF,ASTR
67,15018,ASTR 107 - 01,25,12:45 PM - 2:00 PM,TF,ASTR
68,15019,ASTR 107 - L01,13,2:30 PM - 4:30 PM,M,ASTR
69,15288,ASTR 107 - L02,12,2:30 PM - 4:30 PM,T,ASTR
70,15774-15836,ASTR 112Y - 01,10,1:30 PM - 4:10 PM,W,ASTR
71,13131,ASTR 206 - 01,8,11:20 AM - 12:35 PM,MR,ASTR
72,10211-12268,BIOC 219 - 01,60,8:30 AM - 9:45 AM,TF,BIOC
73,10251-12269,BIOC 219 - L01,12,1:45 PM - 5:15 PM,M,BIOC
74,10228-12270,BIOC 219 - L02,12,12:45 PM - 4:15 PM,T,BIOC
75,10245-12271,BIOC 219 - L03,12,1:00 PM - 4:30 PM,W,BIOC
76,10217-12272,BIOC 219 - L04,12,2:20 PM - 5:50 PM,R,BIOC
77,10242-12273,BIOC 219 - L05,12,12:45 PM - 4:15 PM,F,BIOC
78,14489-14494,BIOC 223 - 01,22,8:30 AM - 9:45 AM 8:30 AM - 9:20 AM,MR W,BIOC
79,14490-14495,BIOC 223 - L01,11,1:50 PM - 5:20 PM,M,BIOC
80,15826-15831,BIOC 223 - L02,11,1:05 PM - 4:35 PM,T,BIOC
81,14735-15102,BIOC 227 - 01,16,2:10 PM - 3:25 PM 3:30 PM - 4:20 PM,TF W,BIOC
82,13134-13139,BIOC 323 - 01,11,2:20 PM - 5:00 PM,M,BIOC
83,15856,BISC 103Y - 01,11,8:30 AM - 9:45 AM,MR,BISC
84,10244,BISC 109 - 01,28,9:55 AM - 11:10 AM,MR,BISC
85,10219,BISC 109 - L01,14,2:20 PM - 5:50 PM,R,BISC
86,10259,BISC 109 - L02,14,12:45 PM - 4:15 PM,F,BISC
87,10521,BISC 110 - 01,31,11:20 AM - 12:35 PM,MR,BISC
88,10524,BISC 110 - 02,33,9:55 AM - 11:10 AM,TF,BISC
89,15864,BISC 110L - L01,16,1:45 PM - 5:15 PM,M,BISC
90,15865,BISC 110L - L02,16,12:45 PM - 4:15 PM,T,BISC
91,15866,BISC 110L - L03,16,8:30 AM - 12:00 PM,W,BISC
92,15867,BISC 110L - L04,16,1:00 PM - 4:30 PM,W,BISC
93,15868,BISC 110L - L05,13,12:45 PM - 4:15 PM,F,BISC
94,10207,BISC 111 - 01,28,8:30 AM - 9:45 AM,MR,BISC
95,10261,BISC 111 - 02,31,8:30 AM - 9:45 AM,TF,BISC
96,15869,BISC 111L - L01,11,1:45 PM - 5:15 PM,M,BISC
97,15870,BISC 111L - L02,15,12:45 PM - 4:15 PM,T,BISC
98,15871,BISC 111L - L03,16,8:30 AM - 12:00 PM,W,BISC
99,15872,BISC 111L - L04,16,1:00 PM - 4:30 PM,W,BISC
100,15873,BISC 111L - L05,11,12:45 PM - 4:15 PM,F,BISC
101,11628,BISC 112 - 01,13,11:20 AM - 12:35 PM,R,BISC
102,14702,BISC 112Y - 01,14,11:20 AM - 12:35 PM,M,BISC
103,14703,BISC 112Y - L01,14,2:20 PM - 5:50 PM,R,BISC
104,15806,BISC 113 - 01,10,11:20 AM - 12:35 PM,R,BISC
105,14704,BISC 113Y - 01,7,11:20 AM - 12:35 PM,M,BISC
106,14705,BISC 113Y - L01,7,2:20 PM - 5:50 PM,R,BISC
107,14165,BISC 116 - 01,32,9:55 AM - 11:10 AM,MR,BISC
108,14167,BISC 116 - L01,16,8:30 AM - 12:00 PM,W,BISC
109,14168,BISC 116 - L02,16,1:00 PM - 4:30 PM,W,BISC
110,10227,BISC 201 - 01,25,9:55 AM - 11:10 AM,MR,BISC
111,10257,BISC 201 - L01,13,1:45 PM - 5:15 PM,M,BISC
112,14652,BISC 201 - L02,12,12:45 PM - 4:15 PM,T,BISC
113,10250,BISC 203 - 01,22,9:55 AM - 11:10 AM,TF,BISC
114,10233,BISC 203 - L01,9,1:45 PM - 5:15 PM,M,BISC
115,10221,BISC 203 - L02,6,12:45 PM - 4:15 PM,T,BISC
116,11429,BISC 203 - L03,7,1:00 PM - 4:30 PM,W,BISC
117,12628,BISC 209 - 01,18,8:30 AM - 9:45 AM,MR,BISC
118,12629,BISC 209 - L01,9,12:45 PM - 4:15 PM,T,BISC
119,12630,BISC 209 - L02,9,1:00 PM - 4:30 PM,W,BISC
120,15601,BISC 210 - 01,13,11:20 AM - 12:35 PM,TF,BISC
121,15602,BISC 210 - L01,13,1:30 PM - 5:00 PM,F,BISC
122,10211-12268,BISC 219 - 01,60,8:30 AM - 9:45 AM,TF,BISC
123,10251-12269,BISC 219 - L01,12,1:45 PM - 5:15 PM,M,BISC
124,10228-12270,BISC 219 - L02,12,12:45 PM - 4:15 PM,T,BISC
125,10245-12271,BISC 219 - L03,12,1:00 PM - 4:30 PM,W,BISC
126,10217-12272,BISC 219 - L04,12,2:20 PM - 5:50 PM,R,BISC
127,10242-12273,BISC 219 - L05,12,12:45 PM - 4:15 PM,F,BISC
128,15603-15605,BISC 247 - 01,10,8:30 AM - 9:45 AM,TF,BISC
129,15604-15606,BISC 247 - L01,10,8:30 AM - 12:00 PM,W,BISC
130,15607,BISC 311 - 01,9,9:55 AM - 11:10 AM,TF,BISC
131,15608,BISC 311 - L01,9,2:20 PM - 5:50 PM,R,BISC
132,15609-15702,BISC 315 - 01,6,9:55 AM - 11:10 AM,TF,BISC
133,15610-15703,BISC 315 - L01,6,12:45 PM - 4:15 PM,T,BISC
134,13331,BISC 316 - 01,6,11:20 AM - 12:35 PM,TF,BISC
135,13332,BISC 316 - L01,6,12:45 PM - 4:15 PM,T,BISC
136,15611-15612,BISC 327 - 01,15,2:10 PM - 4:50 PM,T,BISC
137,15613,BISC 328 - 01,9,1:30 PM - 4:10 PM,W,BISC
138,11274,BISC 334 - 01,12,9:30 AM - 12:10 PM,W,BISC
139,15614,BISC 340 - 01,11,1:30 PM - 4:10 PM,W,BISC
140,15615-15617,BISC 347 - 01,4,8:30 AM - 9:45 AM,TF,BISC
141,15616-15618,BISC 347 - L01,4,8:30 AM - 12:00 PM,W,BISC
142,15619,BISC 348 - 01,13,1:45 PM - 4:25 PM,M,BISC
143,11578,CAMS 101 - 01,27,11:20 AM - 12:35 PM 6:30 PM - 9:10 PM,MR T,CAMS
144,10121-11411,CAMS 135 - 01,16,2:20 PM - 5:00 PM,MR,CAMS
145,10162-11412,CAMS 138 - 01,14,9:55 AM - 12:35 PM,TF,CAMS
146,15620,CAMS 201 - 01,10,2:20 PM - 3:35 PM 6:30 PM - 9:10 PM,MR W,CAMS
147,15621-15622,CAMS 208 - 01,17,1:30 PM - 4:10 PM,W,CAMS
148,15838,CAMS 222 - 01,10,6:30 PM - 9:15 PM 11:20 AM - 12:35 PM,T TF,CAMS
149,15597-15598,CAMS 230 - 01,14,1:30 PM - 4:10 PM,TF,CAMS
150,15581-15582,CAMS 232 - 01,16,6:30 PM - 9:10 PM,R,CAMS
151,12644-12645,CAMS 234 - 01,16,3:45 PM - 6:25 PM,R,CAMS
152,15097-15105,CAMS 235 - 01,13,6:00 PM - 8:40 PM,MW,CAMS
153,13654-13655,CAMS 238 - 01,9,1:30 PM - 4:10 PM,TF,CAMS
154,15594-15595,CAMS 239 - 01,18,9:55 AM - 12:35 PM,TF,CAMS
155,14048-14511,CAMS 240 - 01,25,12:30 PM - 3:10 PM,W,CAMS
156,15657-15830,CAMS 300 - 01,9,11:20 AM - 12:35 PM,MR,CAMS
157,15755,CAMS 324 - 01,8,6:30 PM - 9:30 PM 3:30 PM - 4:45 PM,M W,CAMS
158,15778,CHEM 104Y - 01,14,2:20 PM - 3:35 PM,MR,CHEM
159,11003,CHEM 105 - 01,52,8:30 AM - 9:45 AM 8:30 AM - 9:20 AM,MR W,CHEM
160,11005,CHEM 105 - 03,28,11:20 AM - 12:35 PM 11:30 AM - 12:20 PM,MR W,CHEM
161,11006,CHEM 105 - L01,12,1:50 PM - 5:20 PM,M,CHEM
162,11007,CHEM 105 - L02,11,9:00 AM - 12:30 PM,T,CHEM
163,11008,CHEM 105 - L03,13,1:05 PM - 4:35 PM,T,CHEM
164,11009,CHEM 105 - L04,10,1:30 PM - 5:00 PM,W,CHEM
165,11010,CHEM 105 - L05,13,2:20 PM - 5:50 PM,R,CHEM
166,15336,CHEM 105 - L06,9,9:00 AM - 12:30 PM,F,CHEM
167,15809,CHEM 105 - L07,12,1:05 PM - 4:35 PM,F,CHEM
168,11980,CHEM 105P - 01,11,11:20 AM - 12:35 PM 12:45 PM - 2:00 PM 12:30 PM - 1:20 PM,MR TF W,CHEM
169,12005,CHEM 105P - L01,11,9:00 AM - 12:30 PM,T,CHEM
170,14169,CHEM 116 - 01,32,12:45 PM - 2:45 PM 9:55 AM - 11:10 AM,F TF,CHEM
171,10063,CHEM 120 - 01,29,6:30 PM - 7:45 PM 8:30 AM - 9:45 AM,MW TF,CHEM
172,10011,CHEM 120 - L01,16,1:50 PM - 5:20 PM,M,CHEM
173,10108,CHEM 120 - L02,13,1:05 PM - 4:35 PM,T,CHEM
174,11126,CHEM 205 - 01,24,9:55 AM - 11:10 AM 9:30 AM - 10:20 AM,MR W,CHEM
175,11127,CHEM 205 - L01,10,2:20 PM - 5:50 PM,R,CHEM
176,11128,CHEM 205 - L02,6,9:00 AM - 12:30 PM,F,CHEM
177,11259,CHEM 205 - L03,8,1:05 PM - 4:35 PM,F,CHEM
178,10087,CHEM 211 - 01,27,8:30 AM - 9:45 AM 8:30 AM - 9:20 AM,TF W,CHEM
179,10114,CHEM 211 - 02,30,9:55 AM - 11:10 AM 10:30 AM - 11:20 AM,TF W,CHEM
180,11316,CHEM 211 - 03,28,11:20 AM - 12:35 PM 12:30 PM - 1:20 PM,TF W,CHEM
181,10025,CHEM 211 - L01,9,9:00 AM - 12:30 PM,M,CHEM
182,10050,CHEM 211 - L02,14,1:50 PM - 5:20 PM,M,CHEM
183,10106,CHEM 211 - L03,13,1:05 PM - 4:35 PM,T,CHEM
184,10053,CHEM 211 - L04,14,1:30 PM - 5:00 PM,W,CHEM
185,10049,CHEM 211 - L05,8,9:00 AM - 12:30 PM,R,CHEM
186,10415,CHEM 211 - L06,14,2:20 PM - 5:50 PM,R,CHEM
187,13844,CHEM 211 - L07,13,1:05 PM - 4:35 PM,F,CHEM
188,11129,CHEM 212 - 01,19,8:30 AM - 9:45 AM 8:30 AM - 9:20 AM,MR W,CHEM
189,11131,CHEM 212 - L01,6,1:05 PM - 4:35 PM,T,CHEM
190,11132,CHEM 212 - L02,13,1:30 PM - 5:00 PM,W,CHEM
191,14489-14494,CHEM 223 - 01,22,8:30 AM - 9:45 AM 8:30 AM - 9:20 AM,MR W,CHEM
192,14490-14495,CHEM 223 - L01,11,1:50 PM - 5:20 PM,M,CHEM
193,15826-15831,CHEM 223 - L02,11,1:05 PM - 4:35 PM,T,CHEM
194,14735-15102,CHEM 227 - 01,16,2:10 PM - 3:25 PM 3:30 PM - 4:20 PM,TF W,CHEM
195,15821-15829,CHEM 302 - 01,11,12:45 PM - 3:25 PM,T,CHEM
196,13134-13139,CHEM 323 - 01,11,2:20 PM - 5:00 PM,M,CHEM
197,12222,CHEM 330 - 01,22,9:55 AM - 11:10 AM 10:30 AM - 11:20 AM,TF W,CHEM
198,12241,CHEM 330 - L01,7,1:30 PM - 5:00 PM,W,CHEM
199,12242,CHEM 330 - L02,8,2:20 PM - 5:50 PM,R,CHEM
200,12290,CHEM 330 - L03,7,1:05 PM - 4:35 PM,F,CHEM
201,13850,CHEM 330X - 01,0,9:55 AM - 11:10 AM 10:30 AM - 11:20 AM,TF W,CHEM
202,10611,CHEM 361 - 01,12,2:20 PM - 5:50 PM,MR,CHEM
203,13761,CHEM 361 - 02,11,1:05 PM - 4:35 PM,TF,CHEM
204,10512,CHIN 101 - 01,8,8:30 AM - 9:45 AM,MTRF,CHIN
205,10513,CHIN 101 - 02,10,9:55 AM - 11:10 AM,MTRF,CHIN
206,11406,CHIN 103 - 01,8,2:20 PM - 3:35 PM 2:30 PM - 3:20 PM,MR W,CHIN
207,10514,CHIN 201 - 01,14,11:20 AM - 12:35 PM,MTRF,CHIN
208,10515,CHIN 201 - 02,9,2:20 PM - 3:35 PM 2:10 PM - 3:25 PM,MR TF,CHIN
209,10520,CHIN 203 - 01,13,9:55 AM - 11:10 AM 9:30 AM - 10:20 AM,MR W,CHIN
210,15635,CHIN 208 - 01,13,3:45 PM - 5:00 PM,MR,CHIN
211,15779,CHIN 233 - 01,10,1:30 PM - 4:10 PM,W,CHIN
212,10154,CHIN 301 - 01,14,11:20 AM - 12:35 PM 11:30 AM - 12:20 PM,MR W,CHIN
213,10527,CHIN 306 - 01,10,11:20 AM - 12:35 PM,MR,CHIN
214,15813,CHIN 333 - 01,7,1:30 PM - 4:10 PM,W,CHIN
215,14465-15112,CLCV 103 - 01,27,9:55 AM - 11:10 AM,TF,CLCV
216,15624,CLCV 202 - 01,8,9:55 AM - 11:10 AM,TF,CLCV
217,15625,CLCV 241 - 01,20,11:20 AM - 12:35 PM,TF,CLCV
218,15592-15593,CLCV 373 - 01,18,12:45 PM - 3:25 PM,F,CLCV
219,15765-15766,CLSC 316 - 01,16,12:45 PM - 3:25 PM,T,CLSC
220,15628-15629,CPLT 180 - 01,19,2:10 PM - 3:25 PM,TF,CPLT
221,15118,CPLT 275 - 01,3,2:20 PM - 3:35 PM,MR,CPLT
222,15630,CPLT 284 - 01,32,11:20 AM - 12:35 PM,MR,CPLT
223,15120,CPLT 375 - 01,2,2:20 PM - 3:35 PM,MR,CPLT
224,10006,CS 111 - 01,31,11:20 AM - 12:35 PM,TF,CS
225,10042,CS 111 - 02,31,12:45 PM - 2:00 PM,TF,CS
226,12882,CS 111 - 03,31,2:10 PM - 3:25 PM,TF,CS
227,10508,CS 111 - L01,9,8:30 AM - 10:20 AM,W,CS
228,10509,CS 111 - L02,12,10:30 AM - 12:20 PM,W,CS
229,10510,CS 111 - L03,13,10:30 AM - 12:20 PM,W,CS
230,12086,CS 111 - L04,13,1:30 PM - 3:20 PM,W,CS
231,12772,CS 111 - L05,12,3:30 PM - 5:20 PM,W,CS
232,13303,CS 111 - L06,10,8:30 AM - 10:20 AM,R,CS
233,15280,CS 111 - L07,12,10:30 AM - 12:20 PM,R,CS
234,15796,CS 111 - L08,12,10:30 AM - 12:20 PM,R,CS
235,14175-14176,CS 115 - 01,30,8:30 AM - 9:45 AM,MR,CS
236,14181-14182,CS 115 - 02,28,9:55 AM - 11:10 AM,MR,CS
237,14197-14201,CS 115 - D01,15,8:30 AM - 9:45 AM,T,CS
238,14198-14202,CS 115 - D02,14,9:55 AM - 11:10 AM,T,CS
239,14199-14203,CS 115 - D03,14,12:45 PM - 2:00 PM,T,CS
240,14200-14204,CS 115 - D04,15,2:10 PM - 3:25 PM,T,CS
241,15631,CS 204 - 01,27,12:45 PM - 2:00 PM,TF,CS
242,14184,CS 220 - 01,22,9:55 AM - 11:10 AM,MR,CS
243,10062,CS 230 - 01,27,2:20 PM - 3:35 PM,MR,CS
244,12877,CS 230 - 02,26,11:20 AM - 12:35 PM,MR,CS
245,10788,CS 230 - L01,14,8:30 AM - 10:20 AM,W,CS
246,10789,CS 230 - L02,14,10:30 AM - 12:20 PM,W,CS
247,12299,CS 230 - L03,13,1:30 PM - 3:20 PM,W,CS
248,15284,CS 230 - L04,12,1:30 PM - 3:20 PM,W,CS
249,13153,CS 231 - 01,25,11:20 AM - 12:35 PM,MR,CS
250,15632,CS 234 - 01,23,2:20 PM - 3:35 PM,MR,CS
251,10859,CS 235 - 01,20,11:20 AM - 12:35 PM,TF,CS
252,13275,CS 240 - 01,15,8:30 AM - 9:45 AM,TF,CS
253,14191,CS 240 - 02,14,9:55 AM - 11:10 AM,TF,CS
254,10026,CS 240 - L01,8,9:55 AM - 12:55 PM,M,CS
255,10878,CS 240 - L02,11,1:30 PM - 4:30 PM,M,CS
256,14192,CS 240 - L03,10,5:15 PM - 8:15 PM,M,CS
